"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","df.int","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"1","(Intercept)",435802.79893116,68421039.4321921,0.237184066995501,435802.79893116,0.213861889553712,68421039.4321921,0.237184066995501,435802.79893116,0.213861889553712,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","trend",0.170955286256041,47834601.943283,0.16582041907245,304678.993269318,0.149515389455293,47834601.943283,0.16582041907245,304678.993269318,0.149515389455293,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","season",0.338313110752467,123852.580048358,0.000429339555311316,788.869936613745,0.000387122835535028,123852.580048358,0.000429339555311316,788.869936613745,0.000387122835535028,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.856105488291017,5958074.49518572,0.0206538858801,238322.979807429,0.116952444800013,5958074.49518572,0.0206538858801,238322.979807429,0.116952444800013,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.161958962240827,141104628.886725,0.489144421496434,898755.598004618,0.441047122477535,141104628.886725,0.489144421496434,898755.598004618,0.441047122477535,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","tv_S",614038.875793126,6363408.55369112,0.0220589914044523,40531.2646731919,0.0198899430436647,6363408.55369112,0.0220589914044523,40531.2646731919,0.0198899430436647,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,19435591.1,290083.449253731,0.350226673061216,0.348636692165662,0.028512832036714,0.327410086009225,3.05427365475792,8271.10066520228,0.0786397493029654
"8","ooh_S",201182.501389816,5210080.55061591,0.0180609371711448,33185.226437044,0.0162850152603428,5210080.55061591,0.0180609371711448,33185.226437044,0.0162850152603428,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,15449426,230588.447761194,0.278396527321747,0.285448472113229,0.228799194060815,0.337234571084771,2.96529503717052,52758.4510074954,0.138988073980727
"9","print_S",45438.0213748996,1094480.64746293,0.00379405769581144,6971.2143150505,0.00342099011194301,1094480.64746293,0.00379405769581144,6971.2143150505,0.00342099011194301,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,4512262.33333333,70504.0989583333,0.0813103453788329,0.0599641071842658,0.254799610031169,0.242556962918068,4.12274291353897,17964.4169201823,0.460354330116388
"10","facebook_S",103468.213691861,3592419.09855895,0.0124532538415022,22881.6503092927,0.0112287323148321,3592419.09855895,0.0124532538415022,22881.6503092927,0.0112287323148321,TRUE,0.5483909,0.923894121244133,0.878717694754097,0.866823063779095,0.0577538314139951,0.442459822775939,0.626427793907332,0.0577538314139951,0.0277686357459333,0,68088.0240340517,68088.0240340517,65481090.2533626,1e-04,"2_233_2",1,1,1,1,1,10022340.659765,128491.546920064,0.180601197436987,0.196820477708893,0.291786307702705,0.358441128725631,2.78985841707203,37492.0740468143,0.259566807530064
