"","ds","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","type","solID"
"1",2015-11-23,167687.6,0,95463.6666666667,228213.987444138,0,19401.6538461538,"rawMedia","2_233_2"
"2",2015-11-30,214600.9,0,0,34258.5735106246,31000,14791,"rawMedia","2_233_2"
"3",2015-12-07,0,248022,3404,127691.261334797,28400,14544,"rawMedia","2_233_2"
"4",2015-12-14,625877.3,0,132600,84014.7203055314,31900,2800,"rawMedia","2_233_2"
"5",2015-12-21,0,520005,0,20687.4781557608,27100,15478,"rawMedia","2_233_2"
"6",2015-12-28,249189.8,0,239417.333333333,160110.155202057,28300,13817,"rawMedia","2_233_2"
"7",2016-01-04,5152.9,425163,0,108690.36698611,27800,28817,"rawMedia","2_233_2"
"8",2016-01-11,22141.7,0,176859.666666667,123894.484594755,32000,19082,"rawMedia","2_233_2"
"9",2016-01-18,0,0,0,108690.36698611,22900,19679,"rawMedia","2_233_2"
"10",2016-01-25,0,0,84329.3333333333,90080.7175523908,22900,15095,"rawMedia","2_233_2"
"11",2016-02-01,123838.7,79645,0,0,20600,9795,"rawMedia","2_233_2"
"12",2016-02-08,0,0,35726.6666666667,106931.465933599,20200,10876,"rawMedia","2_233_2"
"13",2016-02-15,497073.3,0,18363,43457.9322069274,0,19401.6538461538,"rawMedia","2_233_2"
"14",2016-02-22,0,0,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"15",2016-02-29,311672.2,0,0,72467.8921194176,17200,583,"rawMedia","2_233_2"
"16",2016-03-07,0,0,123795.666666667,0,21200,8224,"rawMedia","2_233_2"
"17",2016-03-14,148293.3,82489,0,0,17800,5311,"rawMedia","2_233_2"
"18",2016-03-21,0,0,0,0,17200,7428,"rawMedia","2_233_2"
"19",2016-03-28,0,123916,101845.666666667,194131.452155839,19000,10025,"rawMedia","2_233_2"
"20",2016-04-04,0,0,0,625.119342115275,14300,9460,"rawMedia","2_233_2"
"21",2016-04-11,0,124526,0,0,14000,2964,"rawMedia","2_233_2"
"22",2016-04-18,83450.5,0,0,70460.6355991445,13400,11663,"rawMedia","2_233_2"
"23",2016-04-25,0,0,0,0,13500,6317,"rawMedia","2_233_2"
"24",2016-05-02,0,0,93889.3333333333,0,9500,5408,"rawMedia","2_233_2"
"25",2016-05-09,0,93671,0,0,10700,1900,"rawMedia","2_233_2"
"26",2016-05-16,0,0,0,110217.923219335,0,19401.6538461538,"rawMedia","2_233_2"
"27",2016-05-23,0,233330,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"28",2016-05-30,0,0,0,0,10100,9003,"rawMedia","2_233_2"
"29",2016-06-06,0,0,0,0,9000,4305,"rawMedia","2_233_2"
"30",2016-06-13,0,0,0,0,11400,7217,"rawMedia","2_233_2"
"31",2016-06-20,153542.9,232328,0,76594.6754399115,12200,1983,"rawMedia","2_233_2"
"32",2016-06-27,0,0,0,0,11300,3437,"rawMedia","2_233_2"
"33",2016-07-04,75907.6,0,38763,0,13100,4147,"rawMedia","2_233_2"
"34",2016-07-11,0,0,0,0,14300,8479,"rawMedia","2_233_2"
"35",2016-07-18,14253.1,599331,35855,106584.448704671,10700,6348,"rawMedia","2_233_2"
"36",2016-07-25,0,0,0,0,14600,13762,"rawMedia","2_233_2"
"37",2016-08-01,211351.9,307907,0,153060.942473233,17100,11841,"rawMedia","2_233_2"
"38",2016-08-08,0,0,6058.33333333333,0,19000,17162,"rawMedia","2_233_2"
"39",2016-08-15,214730.1,0,0,30356.3307500258,0,19401.6538461538,"rawMedia","2_233_2"
"40",2016-08-22,0,0,104848,19255.1815540065,0,19401.6538461538,"rawMedia","2_233_2"
"41",2016-08-29,179933.7,299336,0,0,23100,2453,"rawMedia","2_233_2"
"42",2016-09-05,159463.8,164644,23110.3333333333,1883.90732940523,23800,3186,"rawMedia","2_233_2"
"43",2016-09-12,0,300217,0,0,25000,11247,"rawMedia","2_233_2"
"44",2016-09-19,0,61302,191524.666666667,136128.542979335,25500,15280,"rawMedia","2_233_2"
"45",2016-09-26,0,304454,0,0,22300,2886,"rawMedia","2_233_2"
"46",2016-10-03,1084024.8,228506,73598.6666666667,94415.0307843027,25300,14067,"rawMedia","2_233_2"
"47",2016-10-10,0,0,80428.3333333333,108425.00086987,29900,24098,"rawMedia","2_233_2"
"48",2016-10-17,610420.1,55867,0,159732.51880587,27900,26550,"rawMedia","2_233_2"
"49",2016-10-24,0,297961,70207.3333333333,175977.688101301,30600,17728,"rawMedia","2_233_2"
"50",2016-10-31,704960.9,0,0,192222.857396732,36700,13989,"rawMedia","2_233_2"
"51",2016-11-07,0,267379,86578.6666666667,208648.339566018,31200,29426,"rawMedia","2_233_2"
"52",2016-11-14,392432.9,0,0,159960.46149546,0,19401.6538461538,"rawMedia","2_233_2"
"53",2016-11-21,52177.9,271909,54698,200462.815518938,0,19401.6538461538,"rawMedia","2_233_2"
