ds,variable,value
2016-01-04,actual,2171506.66666667
2016-01-11,actual,2464131.66666667
2016-01-18,actual,2012520
2016-01-25,actual,1738911.66666667
2016-02-01,actual,1772306.66666667
2016-02-08,actual,1809058.33333333
2016-02-15,actual,1952740
2016-02-22,actual,1507805
2016-02-29,actual,1510391.66666667
2016-03-07,actual,1588840
2016-03-14,actual,1605990
2016-03-21,actual,1356010
2016-03-28,actual,2103936.66666667
2016-04-04,actual,1120835
2016-04-11,actual,1141140
2016-04-18,actual,1166880
2016-04-25,actual,888806.666666667
2016-05-02,actual,898873.333333333
2016-05-09,actual,889373.333333334
2016-05-16,actual,1915375
2016-05-23,actual,1006845
2016-05-30,actual,869198.333333334
2016-06-06,actual,727250
2016-06-13,actual,753730
2016-06-20,actual,999196.666666667
2016-06-27,actual,845843.333333333
2016-07-04,actual,1126016.66666667
2016-07-11,actual,1140978.33333333
2016-07-18,actual,1242656.66666667
2016-07-25,actual,1293483.33333333
2016-08-01,actual,1484843.33333333
2016-08-08,actual,1485698.33333333
2016-08-15,actual,1556608.33333333
2016-08-22,actual,1391206.66666667
2016-08-29,actual,2018783.33333333
2016-09-05,actual,2170721.66666667
2016-09-12,actual,2247670
2016-09-19,actual,2192026.66666667
2016-09-26,actual,1895213.33333333
2016-10-03,actual,2232910
2016-10-10,actual,2406035
2016-10-17,actual,2252445
2016-10-24,actual,2663125
2016-10-31,actual,2974771.66666667
2016-11-07,actual,2826128.33333333
2016-11-14,actual,3182900
2016-11-21,actual,2964696.66666667
2016-11-28,actual,2848525
2016-12-05,actual,2740160
2016-12-12,actual,2380508.33333333
2016-12-19,actual,2230915
2016-12-26,actual,3659425
2017-01-02,actual,2827008.33333333
2017-01-09,actual,2042143.33333333
2017-01-16,actual,2113358.33333333
2017-01-23,actual,2179918.33333333
2017-01-30,actual,2370613.33333333
2017-02-06,actual,1814556.66666667
2017-02-13,actual,1951668.33333333
2017-02-20,actual,1918238.33333333
2017-02-27,actual,1472390
2017-03-06,actual,1477865
2017-03-13,actual,1300166.66666667
2017-03-20,actual,1160205
2017-03-27,actual,1356871.66666667
2017-04-03,actual,1355833.33333333
2017-04-10,actual,1176266.66666667
2017-04-17,actual,1955281.66666667
2017-04-24,actual,1029928.33333333
2017-05-01,actual,2263143.33333333
2017-05-08,actual,813771.666666667
2017-05-15,actual,880871.666666667
2017-05-22,actual,919185
2017-05-29,actual,826321.666666667
2017-06-05,actual,833798.333333333
2017-06-12,actual,746271.666666667
2017-06-19,actual,1036406.66666667
2017-06-26,actual,927931.666666667
2017-07-03,actual,1126943.33333333
2017-07-10,actual,1184220
2017-07-17,actual,1315508.33333333
2017-07-24,actual,1279360
2017-07-31,actual,1455811.66666667
2017-08-07,actual,1553355
2017-08-14,actual,1374855
2017-08-21,actual,1970110
2017-08-28,actual,2336431.66666667
2017-09-04,actual,2002065
2017-09-11,actual,2027418.33333333
2017-09-18,actual,1886570
2017-09-25,actual,2529721.66666667
2017-10-02,actual,2357930
2017-10-09,actual,3003391.66666667
2017-10-16,actual,2283685
2017-10-23,actual,2584721.66666667
2017-10-30,actual,2565400
2017-11-06,actual,3407085
2017-11-13,actual,2803291.66666667
2017-11-20,actual,3303155
2017-11-27,actual,3103743.33333333
2017-12-04,actual,2793875
2017-12-11,actual,2260396.66666667
2017-12-18,actual,2399176.66666667
2017-12-25,actual,3827520
2018-01-01,actual,3109461.66666667
2018-01-08,actual,2228128.33333333
2018-01-15,actual,2202593.33333333
2018-01-22,actual,1918293.33333333
2018-01-29,actual,1862458.33333333
2018-02-05,actual,1975951.66666667
2018-02-12,actual,1827318.33333333
2018-02-19,actual,1656268.33333333
2018-02-26,actual,1703790
2018-03-05,actual,1488115
2018-03-12,actual,1727330
2018-03-19,actual,1208246.66666667
2018-03-26,actual,1388960
2018-04-02,actual,2408331.66666667
2018-04-09,actual,1131721.66666667
2018-04-16,actual,950015
2018-04-23,actual,801298.333333333
2018-04-30,actual,779838.333333334
2018-05-07,actual,889546.666666667
2018-05-14,actual,862850
2018-05-21,actual,2601601.66666667
2018-05-28,actual,905008.333333334
2018-06-04,actual,910551.666666667
2018-06-11,actual,923853.333333333
2018-06-18,actual,982420
2018-06-25,actual,1056811.66666667
2018-07-02,actual,932326.666666667
2018-07-09,actual,1126221.66666667
2018-07-16,actual,1140006.66666667
2018-07-23,actual,1479303.33333333
2018-07-30,actual,1647193.33333333
2018-08-06,actual,2009478.33333333
2018-08-13,actual,1523443.33333333
2018-08-20,actual,1420118.33333333
2018-08-27,actual,1673551.66666667
2018-09-03,actual,2061091.66666667
2018-09-10,actual,2144110
2018-09-17,actual,2058653.33333333
2018-09-24,actual,2208345
2018-10-01,actual,2603008.33333333
2018-10-08,actual,2313193.33333333
2018-10-15,actual,2813106.66666667
2018-10-22,actual,2665110
2018-10-29,actual,2947875
2018-11-05,actual,2768941.66666667
2018-11-12,actual,2666240
2018-11-19,actual,2559550
2018-11-26,actual,2653766.66666667
2018-12-03,actual,2144703.33333333
2018-12-10,actual,2451681.66666667
2018-12-17,actual,2469486.66666667
2018-12-24,actual,3208150
2018-12-31,actual,2746851.66666667
2016-01-04,predicted,2326398.851572521
2016-01-11,predicted,2305540.5248641027
2016-01-18,predicted,2047954.1394575702
2016-01-25,predicted,1818339.9268795303
2016-02-01,predicted,1750320.68281017
2016-02-08,predicted,1808488.9571098448
2016-02-15,predicted,1814618.056170193
2016-02-22,predicted,1589197.6321709573
2016-02-29,predicted,1501855.804261115
2016-03-07,predicted,1517455.866738286
2016-03-14,predicted,1458911.9742900478
2016-03-21,predicted,1355703.057263847
2016-03-28,predicted,2282260.27692391
2016-04-04,predicted,1199732.2435931794
2016-04-11,predicted,1167609.033999769
2016-04-18,predicted,1104907.5080345136
2016-04-25,predicted,1220528.8467539186
2016-05-02,predicted,879557.1984579421
2016-05-09,predicted,984582.9401578634
2016-05-16,predicted,1323145.9642008839
2016-05-23,predicted,1079487.7247322756
2016-05-30,predicted,915422.7390075596
2016-06-06,predicted,793252.7759050037
2016-06-13,predicted,823281.3746129961
2016-06-20,predicted,1014480.8477550533
2016-06-27,predicted,965791.6292385177
2016-07-04,predicted,1073023.781079512
2016-07-11,predicted,1141003.6622391033
2016-07-18,predicted,1316318.6070188181
2016-07-25,predicted,1401698.928921339
2016-08-01,predicted,1515236.049452854
2016-08-08,predicted,1544371.368765244
2016-08-15,predicted,1508355.559736801
2016-08-22,predicted,1502506.0548315344
2016-08-29,predicted,1856235.7715633104
2016-09-05,predicted,2002096.468947406
2016-09-12,predicted,2170795.337683211
2016-09-19,predicted,2129919.611554814
2016-09-26,predicted,1996359.7307798665
2016-10-03,predicted,2390051.278478751
2016-10-10,predicted,2484832.498057493
2016-10-17,predicted,2469591.5616655042
2016-10-24,predicted,2654435.027871265
2016-10-31,predicted,2889582.729842782
2016-11-07,predicted,2886400.049060357
2016-11-14,predicted,2993762.5080759535
2016-11-21,predicted,2839222.6089893505
2016-11-28,predicted,2761859.6962308176
2016-12-05,predicted,2628185.3795730704
2016-12-12,predicted,2394575.459039947
2016-12-19,predicted,1999188.4139220025
2016-12-26,predicted,3468696.202464279
2017-01-02,predicted,2713632.7892400734
2017-01-09,predicted,2287601.7269332986
2017-01-16,predicted,2180843.890079342
2017-01-23,predicted,2113295.8432116555
2017-01-30,predicted,2131322.2349762805
2017-02-06,predicted,1830059.9848174942
2017-02-13,predicted,1944913.6635462209
2017-02-20,predicted,1833402.0309897326
2017-02-27,predicted,1626625.420202122
2017-03-06,predicted,1512894.5350478108
2017-03-13,predicted,1352531.4765290623
2017-03-20,predicted,1268878.0223610178
2017-03-27,predicted,1407163.352702972
2017-04-03,predicted,1320164.9265250524
2017-04-10,predicted,1262831.0746826902
2017-04-17,predicted,1904089.180819153
2017-04-24,predicted,1097978.870664495
2017-05-01,predicted,1267631.0902410233
2017-05-08,predicted,1007011.9095962822
2017-05-15,predicted,1053916.9247845048
2017-05-22,predicted,1009178.4003734724
2017-05-29,predicted,907071.2106176668
2017-06-05,predicted,1158660.3124128438
2017-06-12,predicted,837655.3597001985
2017-06-19,predicted,984416.8387616387
2017-06-26,predicted,1034324.4711452647
2017-07-03,predicted,1177772.1788603629
2017-07-10,predicted,1194783.254477146
2017-07-17,predicted,1285532.2083536885
2017-07-24,predicted,1369224.6199922026
2017-07-31,predicted,1481860.4794033295
2017-08-07,predicted,1575267.5463653738
2017-08-14,predicted,1428530.0959486754
2017-08-21,predicted,1807928.1528308801
2017-08-28,predicted,2220715.92400351
2017-09-04,predicted,2075039.4636528715
2017-09-11,predicted,2058802.781547482
2017-09-18,predicted,2029009.110737072
2017-09-25,predicted,2435273.859594182
2017-10-02,predicted,2718222.630491157
2017-10-09,predicted,2816973.416026188
2017-10-16,predicted,2620852.835759443
2017-10-23,predicted,2642924.7231459618
2017-10-30,predicted,2429838.958619519
2017-11-06,predicted,2909133.353226156
2017-11-13,predicted,2843586.352120445
2017-11-20,predicted,2928247.525329441
2017-11-27,predicted,2936425.2997447997
2017-12-04,predicted,2529752.8672642317
2017-12-11,predicted,2379754.2572226925
2017-12-18,predicted,2472938.464977732
2017-12-25,predicted,3134709.369850504
2018-01-01,predicted,2790523.7327581206
2018-01-08,predicted,2534408.945136491
2018-01-15,predicted,2081918.758224087
2018-01-22,predicted,1928694.3185062597
2018-01-29,predicted,1825853.9124194637
2018-02-05,predicted,2063573.6321816575
2018-02-12,predicted,1802696.6166394905
2018-02-19,predicted,1676999.6898587358
2018-02-26,predicted,1636924.297469383
2018-03-05,predicted,1523577.241655574
2018-03-12,predicted,1546847.153018954
2018-03-19,predicted,1307397.083718976
2018-03-26,predicted,1388499.3097421117
2018-04-02,predicted,2046728.9772382732
