,DATE,revenue,Facebook_W,Facebook_S,Instagram_W,Instagram_S,G_Search_W,G_Search_S,G_Video_W,G_Video_S,G_Display_W,G_Display_S,G_PMAX_W,G_PMAX_S,G_Organic_User,Event
0,2021-07-18,48908,56685.4,3337,2766.0,3832,2840.4,2899,146412.5,3422,35796.8,1736,15033.0,196,1668,0
1,2021-07-25,152142,81257.20000000001,5805,5955.5,7833,1221.4499999999998,865,76383.0,1577,27681.5,1266,16773.5,201,862,0
2,2021-08-01,216257,133007.8,8285,8826.0,11200,4198.55,3168,155499.0,3566,40491.55,1822,30006.5,476,2674,0
3,2021-08-08,257988,134610.0,8702,10382.0,14459,8590.8,11376,206316.5,5388,40512.5,3397,108759.0,893,2253,0
4,2021-08-15,286495,112814.00000000001,9196,10843.5,16113,7348.049999999999,4616,249600.5,7364,39643.85,3068,66695.0,969,2304,0
5,2021-08-22,284641,109269.40000000001,10970,12506.0,19054,18485.05,25067,807871.5,16815,99935.9,3527,328302.0,2276,2053,0
6,2021-08-29,449255,219090.40000000002,16246,18617.5,27977,12042.95,15880,836896.0,15763,90484.0,3643,290102.5,2393,1947,0
7,2021-09-05,749252,332888.4,32813,32942.5,51947,13833.900000000001,21550,911415.5,21555,98529.55,4655,274959.0,2384,3472,0
8,2021-09-12,821556,459545.0,50275,42595.0,69918,15240.849999999999,28449,966164.5,29548,99873.1,5628,306225.5,2356,3810,0
9,2021-09-19,703675,269790.2,35152,33691.5,54304,16144.800000000001,19592,800222.5,23839,103474.29999999999,5964,118132.0,1081,3690,0
10,2021-09-26,635202,202191.40000000002,22809,27945.5,44515,10716.95,16382,1033552.5,21299,46704.6,3711,71640.5,1320,3072,0
11,2021-10-03,651599,212234.2,19087,28533.5,45920,6927.35,7210,1040651.5,21202,37096.25,2321,123331.0,1221,2821,0
12,2021-10-10,652134,228709.2,26776,42931.0,71686,3340.05,2311,1298854.5,28324,41599.05,2405,122974.0,1192,3126,0
13,2021-10-17,569183,215268.40000000002,26369,34965.5,58382,13634.650000000001,15492,668117.0,24532,31924.050000000003,2301,119419.0,1101,2799,0
